sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;djbhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;207;64.76109943476871;23;52;31;75;80247.72853496655;0.019518574;285;4111352.015969374;228408.4453316319;8.637012123297538;-27.2926249;31;0
compiled;djbhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;djbhash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;elfhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;140;42.24926034855522;20;32;19;41;40105.495867198435;0.026422128132693318;193;1517875.3076128662;84326.40597849256;26.399195732397274;-17.32822091;19;0
compiled;elfhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;221;68.02205524680947;27;53;33;76;89879.00860884698;0.018173859259105526;310.5;4945510.324881354;274750.5736045197;6.757421815826092;-29.13990718;33;0
compiled;elfhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
compiled;elfhash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;emi-softwaremetrics;prog_clang-oslatest-O0;all.csv;165;40.47221268969612;18;33;15;46;56039.563253910455;0.022087496;243.5;2537162.319575903;140953.4621986613;20.84785464667047;-22.46556817;15;0
compiled;emi_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;fahrenheit2celcius-softwaremetrics;prog_clang-oslatest-O0;all.csv;114;34.785054261852174;12;29;15;38;29257.742491435292;0.034084920703700124;144;858377.8952;47687.660844011334;32.057307641395795;-11.62799719;15;0
compiled;fahrenheit2celcius_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
