sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;celcius2kelvin_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;celcius2kelvin_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2345;1584.8009338715067;1437;465;480;466;8606476.523513352;0.001039392;6512;8280302186.774224;460016788.15412354;-144.926392;-103.371453;480;0
compiled;celcius2kelvin_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;celcius2kelvin_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;478;316.3242007814135;285;94;100;95;623527.4777445045;0.004075293;1375;153001881.97130713;8500104.553961508;-20.18206406;-63.4596078;100;0
compiled;changingbase-softwaremetrics;prog_clang-oslatest-O0;all.csv;220;54.82700065;23;46;19;67;90265.78473559943;0.01730723;327;5215495.746100687;289749.7636722604;8.878562191791218;-29.67144703;19;0
compiled;changingbase_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;70;24.779023386727733;11;18;13;27;10524.74678962221;0.05834025;69;180402.84096707424;10022.380053726347;47.80465715740655;3.970523653588259;13;0
compiled;changingbase_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2267;1535.649374043437;1393;451;463;452;8189469.475627962;0.001075791;6268;7612509825.7007675;422917212.53893155;-140.9001153;-102.5305876;463;0
compiled;changingbase_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;circumferencecircle-softwaremetrics;prog_clang-oslatest-O0;all.csv;112;34.785054261852174;12;29;15;38;27843.72224;0.034925873164056674;139;797223.3682549091;44290.18712527273;32.60163168980682;-10.8889018;15;0
compiled;circumferencecircle.i-softwaremetrics;prog_clang-oslatest-O0;all.csv;14;8.306623862918075;8;1;2;2;2703.274004183787;0.072522954;44;37274.73668320789;2070.818704622661;86.69573292024523;19.73928924558132;2;0
compiled;circumferencecircle.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;1203;760.6970487651441;652;270;284;271;3392825.1371709867;0.001896894;3425;1788621555.3928964;99367864.18849425;-84.42299643;-88.04711079;284;0
compiled;circumferencecircle_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
